order_id,customer_id,product_id,category,price,discount,quantity,payment_method,order_date,delivered_date,region,returned,request_date,return_reason,total_amount,shipping_cost,profit_margin,customer_age,customer_gender,delivery_days,return_request_days,order_month,order_year,order_quarter,profit_category,return_probability
O100002,C10860,P213892,Electronics,175.58,0.05,1,Credit Card,08-10-2024,12-10-2024,North,No,,,166.8,6.58,13.44,34,Male,4,,October,2024,4,Profit,0.19
O100027,C12433,P223511,Fashion,11.24,0,2,Debit Card,19-08-2025,23-08-2025,West,No,,,22.48,6.09,1.78,60,Female,4,,August,2025,3,Profit,0.22
O100036,C14843,P235284,Fashion,33.9,0,2,Debit Card,27-05-2025,01-06-2025,South,No,,,67.8,4.98,18.75,28,Female,5,,May,2025,2,Profit,0.225
O100061,C10646,P212937,Beauty,10.46,0,1,Credit Card,13-11-2023,17-11-2023,North,No,,,10.46,3.14,1.57,25,Other,4,,November,2023,4,Profit,0.215
O100115,C11016,P218837,Fashion,13.88,0,1,Debit Card,07-05-2025,11-05-2025,South,No,,,13.88,5.31,-0.45,63,Male,4,,May,2025,2,Loss,0.195
O100190,C15977,P244533,Beauty,37.86,0,1,Credit Card,14-09-2024,18-09-2024,North,No,,,37.86,5.8,11.24,66,Female,4,,September,2024,3,Profit,0.195
O100194,C17858,P203671,Grocery,17.81,0.2,1,Debit Card,18-12-2023,23-12-2023,Central,No,,,14.25,4.86,-3.72,62,Male,5,,December,2023,4,Loss,0.205
O100207,C16892,P239888,Grocery,1.99,0,4,Debit Card,21-04-2025,25-04-2025,Central,No,,,7.96,1.92,-1.28,25,Male,4,,April,2025,2,Loss,0.205
O100251,C15575,P239883,Fashion,32.69,0,4,PayPal,12-11-2024,15-11-2024,North,No,,,130.76,6.66,39.11,66,Male,3,,November,2024,4,Profit,0.205
O100269,C15232,P231181,Fashion,119.82,0,1,Debit Card,04-12-2023,10-12-2023,South,Yes,12-12-2023,Missing/Wrong item,119.82,6.39,35.55,60,Female,6,2,December,2023,4,Profit,0.255
O100296,C15249,P227785,Fashion,22.36,0,2,Debit Card,25-08-2024,29-08-2024,North,No,,,44.72,5.92,9.73,29,Female,4,,August,2024,3,Profit,0.23
O100318,C13582,P202779,Electronics,311.23,0,1,Credit Card,19-11-2024,23-11-2024,North,No,,,311.23,9.77,27.58,36,Female,4,,November,2024,4,Profit,0.285
O100358,C10262,P238036,Fashion,59.99,0,1,Credit Card,09-02-2025,15-02-2025,North,No,,,59.99,6.96,14.04,23,Female,6,,February,2025,1,Profit,0.21
O100360,C16287,P229843,Fashion,13.47,0.15,1,UPI,28-04-2025,02-05-2025,North,No,,,11.45,4.23,-0.22,25,Male,4,,April,2025,2,Loss,0.21
O100365,C14976,P215987,Fashion,12.83,0,1,COD,28-09-2023,04-10-2023,South,No,,,12.83,3.98,0.51,29,Female,6,,September,2023,3,Profit,0.195
O100437,C11693,P208214,Fashion,12.29,0,1,UPI,13-11-2024,17-11-2024,South,No,,,12.29,2.83,1.47,30,Female,4,,November,2024,4,Profit,0.24
O100448,C14893,P245136,Electronics,285.29,0,1,Credit Card,19-08-2025,22-08-2025,North,No,,,285.29,9.7,24.53,65,Female,3,,August,2025,3,Profit,0.285
O100454,C14548,P211503,Fashion,161.32,0,2,Debit Card,03-12-2023,08-12-2023,South,No,,,322.64,10.16,102.76,45,Female,5,,December,2023,4,Profit,0.225
O100456,C17996,P247138,Electronics,414.85,0.1,1,Credit Card,14-05-2024,17-05-2024,North,No,,,373.36,9.71,35.09,23,Male,3,,May,2024,2,Profit,0.19
O100460,C14642,P222487,Fashion,10.62,0,1,Debit Card,25-11-2023,02-12-2023,East,Yes,31-12-2023,Missing/Wrong item,10.62,3.07,0.65,28,Female,7,29,November,2023,4,Profit,0.235
O100463,C17679,P209874,Electronics,275.03,0,1,Credit Card,17-04-2025,22-04-2025,North,No,,,275.03,10.5,22.5,30,Female,5,,April,2025,2,Profit,0.285
O100470,C13444,P235268,Fashion,29.12,0,1,Debit Card,19-05-2024,22-05-2024,North,No,,,29.12,4.34,5.85,51,Female,3,,May,2024,2,Profit,0.21
O100480,C10606,P230134,Fashion,12.34,0,1,Credit Card,12-10-2023,17-10-2023,Central,No,,,12.34,4.32,0,54,Other,5,,October,2023,4,Profit,0.205
O100554,C13736,P202407,Fashion,16.6,0.15,1,Credit Card,19-10-2024,26-10-2024,East,No,,,14.11,3.5,1.44,24,Female,7,,October,2024,4,Profit,0.225
O100556,C10574,P200885,Fashion,56.15,0,5,PayPal,04-04-2025,08-04-2025,North,No,,,280.75,10.5,87.76,39,Male,4,,April,2025,2,Profit,0.205
O100567,C13854,P239783,Fashion,50.32,0.05,1,Debit Card,09-07-2024,13-07-2024,South,No,,,47.8,4.74,11.99,24,Female,4,,July,2024,3,Profit,0.245
O100573,C16407,P212738,Electronics,145.03,0,1,Credit Card,13-04-2024,17-04-2024,North,No,,,145.03,7.12,10.28,67,Male,4,,April,2024,2,Profit,0.19
O100576,C13051,P215772,Fashion,80.09,0.05,1,Debit Card,28-01-2025,04-02-2025,South,No,,,76.09,6.77,19.86,65,Female,7,,January,2025,1,Profit,0.245
O100577,C17787,P210633,Fashion,6.5,0.3,1,Debit Card,23-01-2025,26-01-2025,North,No,,,4.55,0.8,0.79,63,Male,3,,January,2025,1,Profit,0.2
O100586,C14142,P211055,Fashion,23.37,0,1,Credit Card,02-05-2025,05-05-2025,North,No,,,23.37,3.84,4.34,62,Female,3,,May,2025,2,Profit,0.215
O100587,C17010,P224318,Fashion,21.43,0.1,1,Credit Card,20-06-2025,23-06-2025,North,No,,,19.29,3.65,3.1,47,Other,3,,June,2025,2,Profit,0.23
O100591,C16799,P222158,Fashion,15.43,0.05,1,Credit Card,13-05-2025,18-05-2025,North,No,,,14.66,0.74,4.39,31,Female,5,,May,2025,2,Profit,0.215
O100666,C11757,P243461,Fashion,13.42,0,1,Debit Card,10-12-2023,15-12-2023,South,No,,,13.42,4.88,-0.18,63,Male,5,,December,2023,4,Loss,0.19
O100668,C12070,P244293,Sports,149.3,0,1,Credit Card,14-06-2024,17-06-2024,North,No,,,149.3,5.38,39.41,59,Female,3,,June,2024,2,Profit,0.195
O100685,C12839,P224807,Grocery,17.14,0.05,1,Debit Card,18-06-2024,22-06-2024,South,No,,,16.28,4.22,-2.92,25,Male,4,,June,2024,2,Loss,0.19
O100705,C15387,P237972,Fashion,91.49,0,1,Debit Card,16-08-2024,20-08-2024,Central,No,,,91.49,7.61,24.41,38,Female,4,,August,2024,3,Profit,0.23
O100707,C15536,P213512,Electronics,83.52,0.3,1,Debit Card,22-04-2024,29-04-2024,East,No,,,58.46,5.86,1.16,58,Male,7,,April,2024,2,Profit,0.195
O100708,C15287,P200684,Toys,2.45,0,1,Credit Card,19-07-2025,24-07-2025,North,No,,,2.45,0.31,0.67,60,Male,5,,July,2025,3,Profit,0.2
O100711,C17723,P211735,Fashion,10.61,0,1,Debit Card,29-02-2024,04-03-2024,West,No,,,10.61,2.84,0.87,19,Female,4,,February,2024,1,Profit,0.205
O100717,C13969,P222412,Grocery,10.63,0.1,3,Credit Card,08-10-2024,12-10-2024,South,No,,,28.7,4.82,-2.52,27,Male,4,,October,2024,4,Loss,0.195
O100765,C14132,P203182,Toys,7.1,0.05,1,Debit Card,19-03-2024,23-03-2024,South,No,,,6.74,4.38,-1.68,19,Male,4,,March,2024,1,Loss,0.19
O100771,C16360,P246475,Grocery,9.97,0.2,3,Debit Card,14-06-2024,17-06-2024,North,No,,,23.93,7.03,-5.12,63,Male,3,,June,2024,2,Loss,0.215
O100783,C10698,P226998,Electronics,56.12,0,1,Credit Card,04-10-2024,09-10-2024,East,No,,,56.12,5.49,1.24,50,Male,5,,October,2024,4,Profit,0.2
O100791,C14360,P237659,Fashion,27.12,0.1,1,Credit Card,08-12-2024,12-12-2024,North,No,,,24.41,4.37,4.17,19,Female,4,,December,2024,4,Profit,0.21
O100801,C10143,P214923,Electronics,62.54,0.15,1,Credit Card,02-08-2025,07-08-2025,East,No,,,53.16,5,1.38,55,Male,5,,August,2025,3,Profit,0.19
O100806,C17192,P234558,Electronics,784.29,0.1,1,Credit Card,04-09-2025,07-09-2025,North,No,,,705.86,9.97,74.73,43,Female,3,,September,2025,3,Profit,0.28
O100828,C14330,P206732,Fashion,27.58,0.1,1,Debit Card,31-05-2024,05-06-2024,West,No,,,24.82,6.84,1.85,55,Female,5,,May,2024,2,Profit,0.245
O100895,C13072,P212167,Fashion,109.29,0,1,Debit Card,06-10-2024,10-10-2024,Central,No,,,109.29,6.89,31.36,52,Female,4,,October,2024,4,Profit,0.23
O100917,C15268,P219124,Fashion,24.6,0,1,Debit Card,17-03-2024,22-03-2024,South,No,,,24.6,4.18,4.43,37,Female,5,,March,2024,1,Profit,0.255
O100959,C12745,P207988,Fashion,39.45,0,1,Credit Card,18-08-2025,22-08-2025,North,No,,,39.45,5.63,8.18,31,Other,4,,August,2025,3,Profit,0.21
O100969,C16645,P246923,Fashion,8.63,0.05,2,Credit Card,23-10-2024,27-10-2024,West,No,,,16.4,4.3,1.44,18,Female,4,,October,2024,4,Profit,0.205
O100971,C17312,P201381,Grocery,4.56,0.05,1,Debit Card,01-07-2025,10-07-2025,East,No,,,4.33,1.44,-1.09,63,Male,9,,July,2025,3,Loss,0.2
O100985,C15713,P202424,Fashion,195.77,0.1,1,Debit Card,16-01-2025,19-01-2025,North,No,,,176.19,7.31,54.36,25,Female,3,,January,2025,1,Profit,0.22
O101017,C15580,P211618,Grocery,7.99,0,3,Debit Card,25-06-2025,29-06-2025,North,No,,,23.97,6.34,-4.42,62,Male,4,,June,2025,2,Loss,0.205
O101066,C10770,P244899,Fashion,90.74,0,1,Credit Card,24-02-2025,28-02-2025,North,No,,,90.74,6.17,25.59,36,Other,4,,February,2025,1,Profit,0.21
O101071,C11077,P239994,Toys,10.42,0,1,Credit Card,16-04-2025,19-04-2025,North,No,,,10.42,4.5,-0.33,42,Male,3,,April,2025,2,Loss,0.19
O101080,C12814,P245231,Fashion,67.35,0,1,Debit Card,21-09-2024,24-09-2024,North,No,,,67.35,5.49,18.08,62,Female,3,,September,2024,3,Profit,0.22
O101088,C12122,P235169,Fashion,104.69,0,1,Debit Card,01-11-2024,05-11-2024,South,No,,,104.69,6.99,29.65,68,Female,4,,November,2024,4,Profit,0.255
O101093,C14859,P229698,Fashion,33.39,0,1,Debit Card,25-11-2024,29-11-2024,South,No,,,33.39,5.85,5.84,25,Female,4,,November,2024,4,Profit,0.245
O101137,C14042,P226209,Fashion,6.68,0.15,1,Credit Card,09-07-2024,13-07-2024,South,No,,,5.68,2.39,-0.4,61,Other,4,,July,2024,3,Loss,0.19
O101138,C11906,P239754,Beauty,9.73,0.1,1,Debit Card,25-08-2024,29-08-2024,North,No,,,8.76,1.05,2.89,35,Female,4,,August,2024,3,Profit,0.2
O101165,C17956,P207636,Fashion,15.54,0,1,Debit Card,05-05-2024,09-05-2024,North,Yes,06-06-2024,Not as described,15.54,4.56,0.88,28,Other,4,28,May,2024,2,Profit,0.255
O101170,C13900,P203435,Toys,5.28,0,1,Debit Card,22-11-2024,28-11-2024,East,No,,,5.28,2.88,-0.77,54,Male,6,,November,2024,4,Loss,0.21
O101173,C16981,P245437,Fashion,112.34,0,1,Credit Card,07-01-2025,12-01-2025,North,No,,,112.34,9.17,30.15,56,Female,5,,January,2025,1,Profit,0.21
